,0
0,India
1,India
2,India
3,India
4,India
5,India
6,India
7,India
8,India
9,India
10,India
11,India
12,India
13,India
14,India
15,India
16,India
17,India
18,India
19,India
20,India
21,India
22,India
23,India
24,India
25,India
26,India
27,India
28,India
29,India
30,India
31,India
32,India
33,India
34,India
35,India
36,India
37,India
38,India
39,India
40,India
41,India
42,India
43,India
44,India
45,India
46,India
47,India
48,India
49,India
50,India
51,India
52,India
53,India
54,India
55,India
56,India
57,India
58,India
59,India
60,India
61,India
62,India
63,India
64,India
65,India
66,India
67,India
68,India
69,India
70,India
71,India
72,India
73,India
74,India
75,India
76,India
77,India
78,India
79,India
80,India
81,India
82,India
83,India
84,India
85,India
86,India
87,India
88,India
89,India
90,India
91,India
92,India
93,India
94,India
95,India
96,India
97,India
98,India
99,India
100,India
101,India
102,India
103,India
104,India
105,India
106,India
107,India
108,India
109,India
110,India
111,India
112,India
113,India
114,India
115,India
116,India
117,India
118,India
119,India
120,India
121,India
122,India
123,India
124,India
125,India
126,India
127,India
128,India
129,India
130,India
131,India
132,India
133,India
134,India
135,India
136,India
137,India
138,India
139,India
140,India
141,India
142,India
143,India
144,India
145,India
146,India
147,India
148,India
149,India
150,India
151,India
152,India
153,India
154,India
155,India
156,India
157,India
158,India
159,India
160,India
161,India
162,India
163,India
164,India
165,India
166,India
167,India
168,India
169,India
170,India
171,India
172,India
173,India
174,India
175,India
176,India
177,India
178,India
179,India
180,India
181,India
182,India
183,India
184,India
185,India
186,India
187,India
188,India
189,India
190,India
191,India
192,India
193,India
194,India
195,India
196,India
197,India
198,India
199,India
200,States
201,India
202,India
203,India
204,India
205,India
206,India
207,India
208,India
209,India
210,India
211,India
212,India
213,India
214,India
215,India
216,India
217,India
218,India
219,India
220,India
221,India
222,India
223,India
224,India
225,India
226,India
227,India
228,India
229,India
230,India
231,India
232,India
233,India
234,India
235,India
236,India
237,India
238,India
239,India
240,India
241,India
242,India
243,India
244,India
245,India
246,India
247,India
248,India
249,India
250,India
251,India
252,India
253,India
254,India
255,India
256,India
257,India
258,India
259,India
260,India
261,India
262,India
263,India
264,India
265,India
266,India
267,India
268,India
269,India
270,India
271,India
272,India
273,India
274,India
275,India
276,India
277,India
278,India
279,India
280,India
281,India
282,India
283,India
284,India
285,India
286,India
287,India
288,India
289,India
290,India
291,India
292,India
293,India
294,India
295,India
296,India
297,India
298,India
299,India
300,India
301,India
302,India
303,India
304,India
305,India
306,India
307,India
308,India
309,India
310,India
311,India
312,India
313,India
314,India
315,India
316,India
317,India
318,India
319,India
320,India
321,India
322,India
323,India
324,India
325,India
326,India
327,Belgien
328,India
329,India
330,India
331,India
332,India
333,India
334,India
335,India
336,India
337,India
338,India
339,India
340,India
341,India
342,India
343,India
344,India
345,India
346,India
347,India
348,India
349,India
350,India
351,India
352,India
353,India
354,India
355,India
356,India
357,India
358,India
359,India
360,India
361,India
362,India
363,India
364,India
365,India
366,India
367,India
368,India
369,India
370,India
371,India
372,India
373,India
374,India
375,India
376,India
377,India
378,India
379,India
380,India
381,India
382,India
383,India
384,India
385,India
386,India
387,India
388,India
389,India
390,India
391,India
392,India
393,India
394,India
395,India
396,India
397,India
398,India
399,India
400,India
401,India
402,India
403,India
404,India
405,India
406,India
407,India
408,India
409,India
410,India
411,India
412,India
413,India
414,India
415,India
416,India
417,India
418,India
419,India
420,India
421,India
422,India
423,India
424,India
425,India
426,India
427,India
428,India
429,India
430,India
431,India
432,India
433,India
434,India
435,India
436,India
437,India
438,India
439,India
440,India
441,India
442,India
443,India
444,India
445,India
446,India
447,India
448,India
449,India
450,India
451,India
452,India
453,India
454,India
455,India
456,India
457,India
458,India
459,India
460,India
461,India
462,India
463,India
464,India
465,India
466,India
467,India
468,India
469,India
470,India
471,India
472,India
473,India
474,India
475,India
476,India
477,India
478,India
479,India
480,India
481,India
482,India
483,India
484,India
485,India
486,India
487,India
488,India
489,India
490,India
491,India
492,India
493,India
494,India
495,India
496,India
497,India
498,India
499,India
500,India
501,India
502,India
503,India
504,India
505,India
506,India
507,India
508,India
509,India
510,India
511,India
512,India
513,India
514,India
515,India
516,India
517,India
518,India
519,India
520,India
521,India
522,India
523,India
524,India
525,India
526,India
527,India
528,India
529,India
530,India
531,India
532,India
533,India
534,India
535,India
536,India
537,India
538,India
539,India
540,India
541,India
542,India
543,India
544,India
545,India
546,India
547,India
548,India
549,India
550,India
551,India
552,India
553,India
554,India
555,India
556,India
557,India
558,India
559,India
560,India
561,India
562,India
563,India
564,India
565,India
566,India
567,India
568,日本
569,India
570,India
571,India
572,India
573,India
574,India
575,India
576,India
577,India
578,India
579,India
580,India
581,India
582,India
583,India
584,India
585,India
586,India
587,India
588,India
589,India
590,India
591,India
592,India
593,India
594,India
595,India
596,India
597,India
598,India
599,India
600,India
601,India
602,India
603,India
604,India
605,India
606,India
607,India
608,India
609,India
610,India
611,India
612,India
613,India
614,India
615,India
616,India
617,India
618,India
619,India
620,India
621,India
622,India
623,India
624,India
625,日本
626,India
627,India
628,India
629,India
630,India
631,India
632,India
633,India
634,India
635,India
636,India
637,India
638,India
639,India
640,India
641,India
642,India
643,India
644,India
645,India
646,India
647,India
648,India
649,India
650,India
651,India
652,India
653,India
654,India
655,India
656,India
657,India
658,India
659,India
660,India
661,India
662,India
663,India
664,India
665,India
666,India
667,India
668,India
669,India
670,India
671,India
672,India
673,India
674,India
675,India
676,India
677,India
678,India
679,India
680,India
681,India
682,India
683,India
684,India
685,India
686,India
687,India
688,India
689,India
690,India
691,India
692,India
693,India
694,India
695,India
696,India
697,India
698,India
699,India
700,India
701,India
702,India
703,India
704,India
705,India
706,India
707,India
708,India
709,India
710,India
711,India
712,India
713,India
714,India
715,India
716,India
717,India
718,India
719,India
720,India
721,India
722,India
723,India
724,India
725,India
726,India
727,India
728,India
729,India
730,India
731,India
732,India
733,India
734,India
735,India
736,India
737,India
738,India
739,India
740,India
741,India
742,India
743,India
744,India
745,India
746,India
747,India
748,India
749,India
750,India
751,India
752,India
753,India
754,India
755,India
756,India
757,India
758,India
759,India
760,India
761,India
762,India
763,India
764,India
765,India
766,India
767,India
768,India
769,India
770,Canada
771,India
772,India
773,India
774,India
775,India
776,India
777,India
778,India
779,India
780,India
781,India
782,India
783,India
784,India
785,India
786,India
787,India
788,India
789,India
790,India
791,India
792,India
793,India
794,India
795,India
796,India
797,India
798,India
799,India
800,India
801,India
802,India
803,India
804,India
805,India
806,India
807,India
808,India
809,India
810,India
811,India
812,India
813,India
814,India
815,India
816,India
817,India
818,ປະເທດລາວ
819,India
820,India
821,India
822,India
823,India
824,India
825,India
826,India
827,India
828,India
829,India
830,India
831,India
832,India
833,India
834,India
835,India
836,India
837,India
838,India
839,India
840,India
841,India
842,India
843,India
844,India
845,India
846,India
847,India
848,India
849,India
850,India
851,India
852,India
853,India
854,India
855,India
856,India
857,India
858,India
859,India
860,India
861,India
862,India
863,India
864,India
865,India
866,India
867,India
868,India
869,India
870,India
871,India
872,India
873,India
874,India
875,India
876,India
877,India
878,India
879,India
880,India
881,India
882,India
883,India
884,India
885,India
886,India
887,India
888,India
889,India
890,India
891,India
892,India
893,India
894,India
895,India
896,India
897,India
898,India
899,India
900,India
901,India
902,India
903,India
904,India
905,India
906,India
907,India
908,India
909,India
910,India
911,India
912,India
913,India
914,India
915,India
916,India
917,India
918,India
919,India
920,India
921,India
922,India
923,India
924,India
925,India
926,India
927,India
928,India
929,India
930,India
931,India
932,India
933,India
934,India
935,India
936,India
937,India
938,India
939,India
940,India
941,India
942,India
943,India
944,India
945,India
946,India
947,India
948,India
949,India
950,India
951,India
952,India
953,India
954,India
955,India
956,India
957,India
958,India
959,India
960,India
961,India
962,India
963,India
964,India
965,India
966,India
967,India
968,India
969,India
970,India
971,India
972,India
973,India
974,India
975,India
976,India
977,India
978,India
979,India
980,India
981,India
982,India
983,India
984,India
985,India
986,India
987,India
988,India
989,India
990,India
991,India
992,India
993,India
994,India
995,India
996,India
997,India
998,India
999,India
1000,India
1001,India
1002,India
1003,India
1004,India
1005,India
1006,India
1007,India
1008,India
1009,India
1010,India
1011,India
1012,India
1013,India
1014,India
1015,India
1016,India
1017,India
1018,India
1019,India
1020,India
1021,India
1022,India
1023,India
1024,India
1025,India
1026,India
1027,India
1028,India
1029,India
1030,India
1031,India
1032,India
1033,India
1034,India
1035,India
1036,India
1037,India
1038,India
1039,India
1040,India
1041,India
1042,India
1043,India
1044,India
1045,India
1046,India
1047,India
1048,India
1049,India
1050,India
1051,India
1052,India
1053,India
1054,India
1055,India
1056,India
1057,India
1058,India
1059,India
1060,India
1061,India
1062,India
1063,India
1064,India
1065,India
1066,India
1067,India
1068,India
1069,India
1070,India
1071,India
1072,India
1073,India
1074,India
1075,India
1076,India
1077,India
1078,India
1079,India
1080,India
1081,India
1082,India
1083,India
1084,India
1085,India
1086,India
1087,India
1088,India
1089,India
1090,India
1091,India
1092,India
1093,India
1094,India
1095,India
1096,India
1097,India
1098,India
1099,India
1100,India
1101,India
1102,India
1103,India
1104,India
1105,India
1106,India
1107,India
1108,India
1109,India
1110,India
1111,India
1112,India
1113,India
1114,India
1115,India
1116,India
1117,India
1118,India
1119,India
1120,India
1121,India
1122,India
1123,India
1124,India
